City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Eirunepe,BR,84.65,broken clouds,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
5,Kapaa,US,80.58,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
13,Atuona,PF,77.07,clear sky,-9.8,-139.0333,Villa Enata
18,Lardos,GR,89.42,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
19,Port Blair,IN,80.8,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
21,Lorengau,PG,81.43,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
22,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
25,Muros,ES,76.68,clear sky,42.7762,-9.0603,Apartment Av. Castelao
29,Lloret De Mar,ES,89.11,scattered clouds,41.6999,2.8457,Apartaments Guitart
30,Itoman,JP,84.4,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
31,Malakal,SS,78.28,broken clouds,9.5334,31.6605,Nile Palace Hotel
33,Camopi,GF,89.71,scattered clouds,3.1655,-52.3158,La pousada
36,Bergerac,FR,79.57,scattered clouds,44.8333,0.5,"The Originals City, Hôtel de Bordeaux, Bergerac (Inter-Hotel)"
38,Urucara,BR,88.88,moderate rain,-2.5364,-57.76,Pousada Maria Bonita
39,Soure,BR,85.26,broken clouds,-0.7167,-48.5233,Casarão da Amazônia
40,Pascoag,US,93.69,clear sky,41.9557,-71.7023,Grace Note Farm
42,El Estor,GT,81.23,overcast clouds,15.5333,-89.35,Chalet Castillo
43,Nikolskoye,RU,80.49,scattered clouds,59.7035,30.7861,Tourist House - Sablino
44,Poindimie,NC,75.31,broken clouds,-20.9333,165.3333,hotel de la plage
45,Mastung,PK,78.64,broken clouds,29.7994,66.845,Al Hasnan Cold Drink Santer
47,Manado,ID,77.77,scattered clouds,1.487,124.8455,Aryaduta Hotel
48,Cayenne,GF,87.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
51,Hasaki,JP,75.6,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
55,Subotica,RS,88.81,clear sky,46.1,19.6667,Patria Hotel
56,Sao Filipe,CV,76.33,broken clouds,14.8961,-24.4956,Hotel Xaguate
63,Dhrangadhra,IN,83.12,overcast clouds,22.9833,71.4667,AMOEBA spot
66,La Arena,PE,79.23,clear sky,-5.3466,-80.7109,Santa Cruz- La Unión
68,Abnub,EG,93.42,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
70,Caravelas,BR,76.75,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
73,Puerto Ayora,EC,78.76,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
75,Gushikawa,JP,83.62,few clouds,26.3544,127.8686,Kirari Guest House
84,Kibala,TD,76.95,few clouds,9.1104,18.3463,Prasant Hotels
88,Mwanza,TZ,75.79,few clouds,-2.5167,32.9,Gold Crest Hotel
92,Do Gonbadan,IR,93.29,haze,30.3586,50.7981,مسافرخانه شادی
98,Makurdi,NG,75.99,light rain,7.7411,8.5121,Doo Palace Hotel
104,Lawton,US,94.06,few clouds,34.6087,-98.3903,Holiday Inn Express & Suites Lawton-Fort Sill
107,Sao Joao Da Barra,BR,80.69,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
112,Butaritari,KI,81.41,light rain,3.0707,172.7902,Isles Sunset Lodge
113,Kavaratti,IN,81.27,overcast clouds,10.5669,72.642,Green leaf
121,Santa Barbara,US,89.35,scattered clouds,34.7333,-120.0343,Upper Ballard Campground
123,Tomigusuku,JP,84.15,few clouds,26.185,127.675,Hotel Gran View Okinawa
124,Dingle,PH,76.84,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
125,Palizada,MX,92.53,broken clouds,18.25,-92.0833,Hotel San Joaquín Palizada
126,Cabedelo,BR,77.67,broken clouds,-6.9811,-34.8339,Pousada Camboinha
128,Montauban,FR,84.0,overcast clouds,44.0833,1.5,Hôtel des Arts et Restaurant Les Gourmandises
129,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
130,Puerto Rico,AR,82.74,broken clouds,-26.796,-55.024,Hotel Cabañas del Prado
131,Markt Schwaben,DE,87.13,clear sky,48.1895,11.8691,Hotel Wandinger Hof by Lehmann Hotels
136,Bengkulu,ID,75.87,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
141,Victoria,HK,88.18,few clouds,22.2855,114.1577,Mini Central
