City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kem,RU,64.9555,34.5793,66.83,82,96,7.34,overcast clouds
1,New Norfolk,AU,-42.7826,147.0587,49.71,83,100,1.01,overcast clouds
2,Bredasdorp,ZA,-34.5322,20.0403,53.85,64,100,8.5,overcast clouds
3,Eirunepe,BR,-6.6603,-69.8736,84.65,70,67,1.05,broken clouds
4,Punta Arenas,CL,-53.15,-70.9167,41.02,75,0,20.71,clear sky
5,Kapaa,US,22.0752,-159.319,80.58,83,13,3.0,few clouds
6,Upernavik,GL,72.7868,-56.1549,41.99,95,100,24.25,light rain
7,Coquimbo,CL,-29.9533,-71.3436,55.13,82,100,2.3,overcast clouds
8,Hermanus,ZA,-34.4187,19.2345,53.8,71,99,10.49,overcast clouds
9,Ushuaia,AR,-54.8,-68.3,35.26,93,100,29.93,sleet
10,Mataura,NZ,-46.1927,168.8643,33.48,98,17,3.02,few clouds
11,Saint-Philippe,RE,-21.3585,55.7679,67.59,84,36,12.62,light rain
12,Faya,SA,18.3851,42.4509,69.91,49,42,4.21,scattered clouds
13,Atuona,PF,-9.8,-139.0333,77.07,75,0,14.45,clear sky
14,Rio Gallegos,AR,-51.6226,-69.2181,37.45,60,0,32.21,clear sky
15,Qaanaaq,GL,77.484,-69.3632,42.42,80,99,7.81,overcast clouds
16,Rikitea,PF,-23.1203,-134.9692,72.39,75,96,9.89,overcast clouds
17,Hobart,AU,-42.8794,147.3294,50.05,82,100,8.05,overcast clouds
18,Lardos,GR,36.0942,28.0157,89.42,51,0,6.26,clear sky
19,Port Blair,IN,11.6667,92.75,80.8,84,100,7.05,light rain
20,Port Elizabeth,ZA,-33.918,25.5701,61.32,71,0,8.05,clear sky
21,Lorengau,PG,-2.0226,147.2712,81.43,80,69,7.83,broken clouds
22,Bathsheba,BB,13.2167,-59.5167,86.61,78,40,17.27,scattered clouds
23,Port Hedland,AU,-20.3167,118.5667,68.05,100,75,5.75,broken clouds
24,Betare Oya,CM,5.6,14.0833,66.78,98,100,2.28,light rain
25,Muros,ES,42.7762,-9.0603,76.68,61,10,13.09,clear sky
26,Albany,US,42.6001,-73.9662,92.62,43,18,10.38,few clouds
27,Haicheng,CN,40.8516,122.7475,71.83,91,99,1.3,moderate rain
28,Amuntai,ID,-2.4177,115.2494,73.08,97,95,1.19,overcast clouds
29,Lloret De Mar,ES,41.6999,2.8457,89.11,71,31,5.01,scattered clouds
30,Itoman,JP,26.1247,127.6694,84.4,89,20,10.36,few clouds
31,Malakal,SS,9.5334,31.6605,78.28,74,64,4.38,broken clouds
32,Polunochnoye,RU,60.8697,60.4153,50.9,62,18,4.68,few clouds
33,Camopi,GF,3.1655,-52.3158,89.71,51,31,2.19,scattered clouds
34,Kemijarvi,FI,66.7131,27.4306,64.18,64,80,7.52,broken clouds
35,Bluff,NZ,-46.6,168.3333,33.8,84,78,7.38,broken clouds
36,Bergerac,FR,44.8333,0.5,79.57,57,45,17.27,scattered clouds
37,Luderitz,NA,-26.6481,15.1594,60.44,69,25,14.43,scattered clouds
38,Urucara,BR,-2.5364,-57.76,88.88,54,58,3.67,moderate rain
39,Soure,BR,-0.7167,-48.5233,85.26,59,58,4.34,broken clouds
40,Pascoag,US,41.9557,-71.7023,93.69,44,0,1.01,clear sky
41,Grand Gaube,MU,-20.0064,57.6608,70.2,73,33,7.0,scattered clouds
42,El Estor,GT,15.5333,-89.35,81.23,86,100,3.51,overcast clouds
43,Nikolskoye,RU,59.7035,30.7861,80.49,64,35,4.85,scattered clouds
44,Poindimie,NC,-20.9333,165.3333,75.31,92,72,8.75,broken clouds
45,Mastung,PK,29.7994,66.845,78.64,58,61,4.47,broken clouds
46,Najran,SA,17.4924,44.1277,95.65,18,42,6.17,scattered clouds
47,Manado,ID,1.487,124.8455,77.77,88,40,1.14,scattered clouds
48,Cayenne,GF,4.9333,-52.3333,87.1,20,10,3.44,clear sky
49,Valdivia,CL,-39.8142,-73.2459,53.69,98,100,9.71,overcast clouds
50,Bykov,RU,47.3167,142.55,56.19,99,100,2.77,overcast clouds
51,Hasaki,JP,35.7333,140.8333,75.6,87,38,18.7,scattered clouds
52,Kodiak,US,57.79,-152.4072,51.12,71,28,1.5,scattered clouds
53,Cape Town,ZA,-33.9258,18.4232,59.11,83,75,9.22,broken clouds
54,Isiro,CD,2.7739,27.616,67.8,96,70,3.78,broken clouds
55,Subotica,RS,46.1,19.6667,88.81,18,0,3.44,clear sky
56,Sao Filipe,CV,14.8961,-24.4956,76.33,77,64,6.44,broken clouds
57,Port Alfred,ZA,-33.5906,26.891,65.37,66,57,5.59,broken clouds
58,Migori,KE,-1.0634,34.4731,68.74,62,100,2.84,overcast clouds
59,Batemans Bay,AU,-35.7167,150.1833,52.11,92,55,4.65,broken clouds
60,Mehamn,NO,71.0357,27.8492,53.51,89,69,21.12,broken clouds
61,Sitka,US,57.0531,-135.33,55.29,82,100,4.61,overcast clouds
62,Andreapol,RU,56.6513,32.2664,65.37,65,33,1.88,scattered clouds
63,Dhrangadhra,IN,22.9833,71.4667,83.12,77,99,17.0,overcast clouds
64,North Ogden,US,41.3072,-111.9602,95.65,25,2,5.99,clear sky
65,Vardo,NO,70.3705,31.1107,53.58,82,75,13.8,broken clouds
66,La Arena,PE,-5.3466,-80.7109,79.23,48,10,8.95,clear sky
67,Chokurdakh,RU,70.6333,147.9167,40.12,73,86,12.44,overcast clouds
68,Abnub,EG,27.2696,31.1511,93.42,23,4,10.74,clear sky
69,Busselton,AU,-33.65,115.3333,59.23,78,33,16.22,scattered clouds
70,Caravelas,BR,-17.7125,-39.2481,76.75,67,22,6.49,few clouds
71,Castro,BR,-24.7911,-50.0119,74.21,40,34,6.46,scattered clouds
72,Polyarnyy,RU,69.1989,33.4478,53.74,90,100,5.68,overcast clouds
73,Puerto Ayora,EC,-0.7393,-90.3518,78.76,83,40,8.99,scattered clouds
74,Tapiramuta,BR,-11.8472,-40.7914,72.93,55,100,7.72,overcast clouds
75,Gushikawa,JP,26.3544,127.8686,83.62,83,19,12.06,few clouds
76,Ponta Delgada,PT,37.7333,-25.6667,74.12,73,20,6.91,few clouds
77,Broken Hill,AU,-31.95,141.4333,55.36,67,100,10.78,overcast clouds
78,Cabo San Lucas,MX,22.8909,-109.9124,99.7,59,89,6.58,overcast clouds
79,Geraldton,AU,-28.7667,114.6,50.41,87,75,13.8,broken clouds
80,Nesna,NO,66.1967,13.0213,53.71,82,94,8.59,overcast clouds
81,Japura,ID,-0.3167,102.35,74.25,98,99,1.59,overcast clouds
82,Kharitonovo,RU,61.4009,47.4978,62.76,69,39,2.93,scattered clouds
83,Seoul,KR,37.5683,126.9778,74.64,94,20,3.44,mist
84,Kibala,TD,9.1104,18.3463,76.95,83,20,3.44,few clouds
85,Tasiilaq,GL,65.6145,-37.6368,41.56,73,71,7.18,broken clouds
86,Paamiut,GL,61.994,-49.6678,47.73,79,8,6.78,clear sky
87,Ereymentau,KZ,51.6199,73.1033,64.83,63,43,4.16,scattered clouds
88,Mwanza,TZ,-2.5167,32.9,75.79,42,13,4.21,few clouds
89,Vaini,TO,-21.2,-175.2,71.76,88,40,8.05,scattered clouds
90,Esperance,AU,-33.8667,121.9,53.8,76,89,14.63,overcast clouds
91,Norman Wells,CA,65.282,-126.8329,64.44,77,75,9.22,broken clouds
92,Do Gonbadan,IR,30.3586,50.7981,93.29,43,2,0.0,haze
93,Port Hardy,CA,50.6996,-127.4199,57.38,94,100,3.44,overcast clouds
94,Mar Del Plata,AR,-38.0023,-57.5575,53.62,68,0,5.75,clear sky
95,Barrow,US,71.2906,-156.7887,37.42,93,100,11.5,mist
96,Brewster,US,41.3973,-73.6171,95.41,42,0,1.99,clear sky
97,Mahebourg,MU,-20.4081,57.7,70.09,83,40,12.66,scattered clouds
