City_ID,City,Country,Date,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Pevek,RU,2022-07-19- 23:01;57,69.7008,170.3133,32.47,97,100,12.66
1,Hobart,AU,2022-07-19- 22:55;31,-42.8794,147.3294,40.05,86,20,10.36
2,Sinnamary,GF,2022-07-19- 23:01;57,5.3833,-52.95,77.68,84,91,10.02
3,Weligama,LK,2022-07-19- 23:01;58,5.9667,80.4167,77.54,89,93,11.83
4,Paducah,US,2022-07-19- 22:59;16,37.0834,-88.6001,91.11,70,40,5.75
5,Hermanus,ZA,2022-07-19- 23:01;58,-34.4187,19.2345,51.75,77,21,3.53
6,Lebu,CL,2022-07-19- 22:58;31,-37.6167,-73.65,47.95,79,31,1.43
7,Punta Arenas,CL,2022-07-19- 23:00;57,-53.15,-70.9167,39.11,69,78,36.17
8,Huarmey,PE,2022-07-19- 23:01;59,-10.0681,-78.1522,64.22,80,68,9.57
9,Yingkou,CN,2022-07-19- 23:00;19,40.6648,122.2283,74.39,84,100,7.58
10,Busselton,AU,2022-07-19- 22:59;43,-33.65,115.3333,58.89,81,100,13.98
11,Dingle,PH,2022-07-19- 23:01;06,10.9995,122.6711,79.12,87,67,2.66
12,Stroud,GB,2022-07-19- 23:01;59,51.75,-2.2,68.92,97,21,11.25
13,Mount Darwin,ZW,2022-07-19- 23:02;00,-16.7725,31.5838,55.72,85,32,3.49
14,Cape Town,ZA,2022-07-19- 23:01;02,-33.9258,18.4232,59.38,75,1,5.99
15,Nikolskoye,RU,2022-07-19- 23:02;00,59.7035,30.7861,56.79,95,30,5.35
16,Saint Anthony,US,2022-07-19- 23:00;41,45.0205,-93.218,87.75,35,40,17.27
17,Kavieng,PG,2022-07-19- 23:02;01,-2.5744,150.7967,82.18,77,100,9.91
18,Poum,NC,2022-07-19- 23:02;01,-20.2333,164.0167,76.21,83,33,7.43
19,Puerto Ayora,EC,2022-07-19- 23:02;01,-0.7393,-90.3518,69.55,95,54,4.0
20,New Norfolk,AU,2022-07-19- 23:00;50,-42.7826,147.0587,40.71,89,4,2.17
21,Mataura,NZ,2022-07-19- 22:59;46,-46.1927,168.8643,44.47,76,94,4.12
22,Mecca,SA,2022-07-19- 23:02;02,21.4267,39.8261,90.81,19,79,1.23
23,Albacete,ES,2022-07-19- 23:02;02,38.8333,-2.0,79.18,41,0,9.22
24,Istok,XK,2022-07-19- 23:02;03,42.7808,20.4875,63.36,50,0,5.77
25,Andros Town,BS,2022-07-19- 23:02;03,24.7,-77.7667,83.7,73,1,13.42
26,Aluksne,LV,2022-07-19- 23:02;04,57.4167,27.05,54.0,97,57,8.39
27,Ushuaia,AR,2022-07-19- 22:59;50,-54.8,-68.3,38.86,75,75,3.44
28,Saint George,US,2022-07-19- 23:01;17,37.1041,-113.5841,108.63,17,0,8.99
29,Cherskiy,RU,2022-07-19- 23:02;04,68.75,161.3,42.67,62,92,11.25
30,Boyolangu,ID,2022-07-19- 23:01;21,-8.1181,111.8935,71.33,92,52,0.83
31,Ghanzi,BW,2022-07-19- 23:02;05,-21.5667,21.7833,51.4,50,6,8.28
32,Lagoa,PT,2022-07-19- 22:59;54,39.05,-27.9833,71.02,92,0,9.37
33,Scarborough,GB,2022-07-19- 23:00;22,54.2797,-0.4044,78.37,61,35,6.89
34,Lavrentiya,RU,2022-07-19- 22:59;47,65.5833,-171.0,43.61,63,99,4.34
35,Ransang,PH,2022-07-19- 23:02;05,8.9603,117.5828,78.42,80,30,3.13
36,Namibe,AO,2022-07-19- 23:02;06,-15.1961,12.1522,61.66,87,42,2.44
37,Yukhnov,RU,2022-07-19- 23:02;06,54.7444,35.2297,54.0,96,50,5.3
38,San Lorenzo,PY,2022-07-19- 23:02;06,-25.3333,-57.5333,62.55,91,2,6.04
39,Maceio,BR,2022-07-19- 22:57;55,-9.6658,-35.7353,76.44,78,40,4.61
40,Floro,NO,2022-07-19- 23:02;07,61.5996,5.0328,67.96,64,100,5.75
41,Klyuchi,RU,2022-07-19- 23:02;07,52.2667,79.1667,58.71,69,4,6.13
42,Kapaa,US,2022-07-19- 23:02;08,22.0752,-159.319,82.47,71,56,5.01
43,Jamestown,US,2022-07-19- 22:58;50,42.097,-79.2353,84.06,64,20,8.01
44,Mount Gambier,AU,2022-07-19- 23:02;08,-37.8333,140.7667,37.98,80,0,3.42
45,Henties Bay,NA,2022-07-19- 23:02;09,-22.116,14.2845,55.36,91,0,10.56
